Latitude, Longitute, center count 
39.33364514,-76.69933587,1678
39.26779929,-76.65084084,1631
39.20786388,-76.54448102,17
39.36293792,-76.5803114,199
39.35568442,-76.531542,513
39.237491,-76.663185,1
39.29288991,-76.6569379,2368
39.31222174,-76.67829726,1925
39.26483703,-76.56880818,49
39.32384464,-76.66048363,2097
39.28869701,-76.60159111,4158
39.22283031,-76.59350168,163
39.23910938,-76.58446752,616
39.23651791,-76.60449253,1835
39.34427632,-76.53978246,1181
39.31203486,-76.56350217,2243
39.30909546,-76.59980678,3350
39.36279918,-76.58638093,476
39.28407521,-76.65430892,3123
39.31673903,-76.61018125,3781
39.29009194,-76.54302958,1213
39.24463908,-76.5768565,67
39.3130408,-76.7154536,5
39.22978893,-76.60102833,1292
39.31976703,-76.6905125,724
